AX,AY,AZ,GX,GY,GZ,Type
-4.95,-4.15,-7.19,0.0,0.01,-0.01,4.0
2.8,1.68,-9.06,0.0,0.01,-0.01,3.0
-0.78,-2.89,-8.25,-0.54,0.86,-0.27,2.0
2.82,1.69,-9.03,0.0,0.02,-0.01,3.0
2.81,1.66,-9.03,0.0,0.01,-0.01,3.0
-0.97,4.73,-8.33,0.0,0.02,0.0,0.0
2.82,1.69,-9.04,0.0,0.01,-0.01,3.0
2.82,1.67,-9.02,0.0,0.01,-0.01,3.0
2.81,1.68,-9.03,0.0,0.02,-0.01,3.0
2.8,1.7,-9.07,0.0,0.01,-0.01,3.0
-9.41,2.25,-1.57,0.0,0.01,-0.01,1.0
4.03,-6.53,-7.3,-0.34,-0.93,0.55,2.0
2.81,1.72,-9.04,0.0,0.01,-0.01,3.0
2.83,1.66,-9.03,0.0,0.02,-0.01,3.0
2.82,1.7,-9.03,0.0,0.01,-0.01,3.0
2.81,1.7,-9.04,0.0,0.02,-0.01,3.0
-0.94,4.82,-8.31,-0.01,0.02,-0.01,0.0
2.37,3.35,-8.69,0.0,0.01,-0.01,0.0
-9.41,2.34,-1.4,0.0,0.01,-0.01,1.0
1.02,4.28,-8.6,0.0,0.02,-0.01,0.0
2.81,1.69,-9.02,0.0,0.01,-0.01,3.0
2.4,-2.22,-9.04,-0.01,0.0,-0.01,2.0
2.82,1.68,-9.0,0.0,0.01,-0.01,3.0
-3.45,-1.62,-8.5,-0.74,-0.78,0.11,2.0
2.82,1.69,-9.04,0.0,0.01,-0.01,3.0
2.46,2.41,-8.95,0.0,0.02,-0.01,2.0
-5.81,3.07,-7.12,0.0,0.02,-0.01,1.0
2.8,1.69,-9.05,0.0,0.01,-0.01,3.0
2.81,1.66,-9.04,0.0,0.01,-0.01,3.0
1.9,4.88,-8.1,0.0,0.02,-0.01,0.0
2.82,1.67,-9.05,0.0,0.01,-0.01,3.0
2.81,1.68,-9.05,0.0,0.02,-0.01,3.0
-9.43,2.26,-1.46,0.0,0.01,-0.01,1.0
0.24,-0.05,-7.81,0.8,0.18,1.14,2.0
2.81,1.7,-9.06,0.0,0.01,-0.01,3.0
-1.9,-0.78,-9.1,-0.35,0.26,0.14,4.0
2.24,3.03,-8.86,0.0,0.02,-0.01,0.0
2.82,1.69,-9.04,0.0,0.02,-0.01,3.0
2.81,1.68,-9.06,0.0,0.01,-0.01,3.0
-0.5,3.33,-9.21,0.01,0.04,0.0,2.0
-9.41,2.19,-1.57,0.0,0.02,-0.01,1.0
2.81,1.67,-9.06,0.0,0.01,-0.01,3.0
2.83,1.68,-9.05,0.0,0.01,-0.01,3.0
2.11,1.67,-9.23,0.0,0.01,-0.01,0.0
-5.87,3.26,-6.98,0.0,0.01,-0.01,1.0
2.82,1.67,-9.06,0.0,0.01,-0.01,3.0
2.8,1.67,-9.04,0.0,0.02,-0.01,3.0
2.83,1.68,-9.05,0.0,0.02,-0.01,3.0
2.8,1.71,-9.05,0.0,0.01,-0.01,3.0
2.82,1.69,-9.04,0.0,0.02,-0.01,3.0
2.82,1.68,-9.04,0.0,0.02,-0.01,3.0
0.49,4.68,-8.44,0.0,0.02,-0.01,0.0
2.81,1.69,-9.07,0.0,0.01,-0.01,3.0
-9.43,2.25,-1.41,0.0,0.01,-0.01,1.0
-5.86,3.24,-6.98,0.0,0.01,-0.01,1.0
-0.75,2.77,-9.0,0.49,-0.39,0.0,2.0
-3.83,-1.2,-8.75,0.0,0.01,-0.01,4.0
2.81,1.69,-9.02,0.0,0.02,-0.01,3.0
-0.55,-0.66,-9.13,-0.07,0.91,0.19,2.0
2.81,1.7,-9.07,0.0,0.01,-0.01,3.0
2.81,1.69,-9.04,0.0,0.01,-0.01,3.0
-3.82,-1.27,-8.76,0.0,0.01,-0.01,4.0
-5.86,3.23,-7.01,-0.01,0.03,-0.01,1.0
2.82,1.68,-9.03,0.0,0.01,-0.01,3.0
-9.43,2.28,-1.41,0.0,0.01,-0.01,1.0
1.44,0.16,-9.48,0.0,0.01,-0.01,0.0
2.81,1.69,-9.05,0.0,0.01,-0.01,3.0
