AX,AY,AZ,GX,GY,GZ,Type
5.47,0.56,-7.84,0,0.02,-0.01,0
5.48,0.6,-7.84,-0.01,0.02,-0.01,0
6.49,0.87,-7.01,0,0.02,-0.01,0
1.69,1.4,-9.34,0,0.02,-0.01,0
2.79,0.17,-9.2,-0.01,0.01,-0.01,0
-1,-3.01,-9.17,-0.03,-0.1,-0.06,0
-1.66,3.5,-10.19,0.04,-1.3,-0.69,0
7.39,-3.34,-4.62,0.14,-0.09,-0.12,0
2.06,1.45,-9.26,0,0.02,-0.01,0
2.13,1.49,-9.26,0,0.01,-0.01,0
2.21,1.52,-9.24,0,0.01,-0.01,0
2.22,1.52,-9.21,0,0.02,-0.01,0
2.27,1.54,-9.2,0,0.02,-0.01,0
2.29,1.55,-9.22,0,0.01,-0.01,0
2.28,1.54,-9.21,0,0.02,-0.01,0
2.29,1.52,-9.2,0,0.01,-0.01,0
2.64,2.21,-8.97,0,0.02,-0.01,0
2.65,2.21,-8.96,0,0.02,-0.01,0
2.66,2.21,-8.95,0,0.02,-0.01,0
2.64,2.23,-8.97,0,0.02,-0.01,0
2.66,2.23,-8.98,0,0.02,-0.01,0
2.65,2.23,-8.96,0,0.02,-0.01,0
2.63,2.24,-8.98,0,0.02,-0.01,0
4.41,2.56,-8.16,-0.01,0.01,-0.01,0
1.84,2.38,-9.22,-0.01,0.06,-0.01,0
2.14,2.86,-8.88,0,0.02,-0.01,0
2.15,2.9,-8.91,0,0.02,-0.01,0
2.1,2.93,-8.88,-0.01,0.01,-0.01,0
2.2,2.93,-8.88,0,0.02,-0.01,0
2.2,2.99,-8.89,0,0.02,-0.01,0
2.21,2.98,-8.88,0,0.02,-0.01,0
2.24,2.99,-8.84,0,0.02,-0.01,0
2.05,3.04,-8.89,0,0.01,-0.01,0
2.21,3,-8.77,-0.01,0.01,-0.01,0
2.24,3.03,-8.86,0,0.02,-0.01,0
2.25,3.02,-8.84,0,0.02,-0.01,0
2.24,3.02,-8.83,0,0.02,-0.01,0
2.24,3.04,-8.88,0,0.01,-0.01,0
2.25,3.02,-8.85,0,0.01,-0.01,0
2.24,3.03,-8.83,0,0.02,-0.01,0
2.25,3.03,-8.85,-0.01,0.02,-0.01,0
1.87,2.23,-9.15,-0.09,0.1,-0.02,0
2.3,2.78,-8.94,-0.01,0.02,-0.01,0
2.29,2.78,-8.94,0,0.01,-0.01,0
2.31,2.77,-8.92,0,0.01,-0.01,0
