AX,AY,AZ,GX,GY,GZ,Type
-0.9,-5.06,-8.13,0,0.04,-0.01,2
-9.41,2.27,-1.53,0,0.01,-0.01,1
6.64,-6.15,-3.39,-0.02,0.02,-0.01,1
0.49,4.68,-8.44,0,0.02,-0.01,0
6.66,-6.15,-3.37,-0.01,0.02,-0.01,1
2.69,2.17,-8.98,0,0.02,-0.01,0
5.47,0.56,-7.84,0,0.02,-0.01,0
2.15,1.68,-9.21,0,0.01,-0.01,0
1,3.84,-8.8,0,0.01,-0.01,0
0.46,4.63,-8.44,0,0.01,-0.01,0
6.67,-6.14,-3.33,-0.01,0.01,-0.01,1
6.64,-6.17,-3.38,0,0.02,-0.01,1
1.04,3.88,-8.78,0,0.01,-0.01,0
1.72,4.71,-8.24,0,0.01,-0.01,0
6.54,-6.24,-3.52,-0.01,0.02,-0.01,1
2.72,2.3,-8.94,0,0.01,-0.01,0
2.66,2.21,-8.95,0,0.02,-0.01,0
2.72,2.15,-8.97,0,0.01,-0.01,0
1.03,3.88,-8.78,0,0.01,-0.01,0
1.01,3.86,-8.77,0,0.01,-0.01,0
1.02,3.86,-8.75,0,0.02,-0.01,0
1.02,3.9,-8.76,0,0.02,-0.01,0
1.55,3.42,-8.56,0.12,0.22,0.6,2
2.14,1.7,-9.22,0,0.02,-0.01,0
-9.58,1.51,-1.37,0,0.01,-0.01,1
-1.34,2.04,-9.3,0.04,-0.02,-0.02,2
6.66,-6.13,-3.35,0,0.02,-0.01,1
-9.41,2.26,-1.44,0,0.02,-0.01,1
-9.38,2.27,-1.51,-0.01,0.01,-0.01,1
-0.88,1.42,-9.48,-0.09,-0.01,-0.02,2
3.86,2.73,-8.37,0,0.02,-0.01,0
-9.42,2.23,-1.51,0,0.01,-0.01,1
6.62,-6.21,-3.36,0.01,0.01,0,1
2.11,1.68,-9.25,0,0.02,-0.01,0
1.75,4.75,-8.24,0,0.01,-0.01,0
2.14,1.69,-9.21,0,0.02,-0.01,0
-9.43,2.19,-1.53,-0.01,0.02,-0.01,1
-1.41,3.01,-9.01,0.01,0.01,0.12,0
1.14,0.84,-9.03,0.7,0.72,0.15,2
2.24,2.99,-8.84,0,0.02,-0.01,0
2.25,3.02,-8.84,0,0.02,-0.01,0
-9.42,2.3,-1.38,-0.01,0.02,-0.01,1
2.24,3.04,-8.88,0,0.01,-0.01,0
2.8,1.68,-9.04,0,0.01,-0.01,3
2.81,1.67,-9.05,0,0.01,-0.01,3
2.81,1.66,-9.04,0,0.01,-0.01,3
1.83,-0.63,-9.24,0.12,-0.05,-0.01,2
-8.01,3.83,-13.36,0.54,-1.09,0.37,2
-9.41,2.22,-1.51,-0.01,0.02,-0.01,1
2.29,1.52,-9.2,0,0.01,-0.01,0
2.8,1.67,-9.06,0,0.02,-0.01,3
6.65,-6.14,-3.35,-0.01,0.02,-0.01,1
1.75,4.73,-8.22,0,0.02,-0.01,0
2.82,1.67,-9.03,0,0.01,-0.01,3
2.83,1.68,-9.03,0,0.01,-0.01,3
1.01,3.84,-8.78,0,0.01,-0.01,0
-0.78,-3.13,-9.15,0.13,0.38,0.75,2
2.82,1.67,-9.04,0,0.02,-0.01,3
6.63,-6.24,-3.38,-0.01,0.02,-0.01,1
1.01,3.86,-8.77,0,0.02,-0.01,0
2.62,1.04,-9.15,-0.01,0,-0.01,2
2.65,2.23,-8.96,0,0.02,-0.01,0
2.1,3.61,-8.66,0,0.02,-0.01,0
2.83,1.68,-9.03,0,0.01,-0.01,3
3.52,-2.09,-8.71,-0.26,0.08,-0.05,2
-9.4,2.23,-1.51,0,0.01,-0.01,1
2.8,1.67,-9.05,0,0.01,-0.01,3
